Text	Index
 meningitis b, the Belgian health council does not recommend the vaccine. in italy, on the other hand, the ISS puts the stamp on gsk advertising ... link	A1074
and then sending a vaccine into production on which you are not even sure / the right experiments have not been made would imply a suicide, you know, yes?	A790
 user had a great time with their shops closed. I think we will see the real pandemic with the vaccine !!!	A153
the mmr shot vaccine insert contains 42 paragraphs of warning and adverse reactions. warnings include seizures, encephalitis, pneumonia, deafness, death and measures! the vaccine insert tells you that this vaccine can cause brain damage, death. #vaccineswork link	A992
 user I try to integrate: there will never be a safe and effective vaccine against the coronavirus. however, one or more vaccines will be placed on the market.	A318
 are you happy? your prime minister found the vaccine and also found the money .. wake up! these of us don't care!	A1249
use if going to a restaurant means entering an operating room, perhaps it would be better to keep it closed. and suffice it to say that we will return to normal only after the vaccine. stop with these phrases of terror. the only abnormal are you, bill gates and cricket.	A304
" #vaccini the mother vaccinates, the little girl begins to have motor problems and writes to the ""expert"" pediatrician. (the vaccine the mprv and she responds for polio ...) eh no .. this time lady it might not be all normal .... well but not very well ???? link link"	A427
 attention: the science of our health does not care a fig! link	A519
 user we do that with this premise, virologists put the vaccine in their veins. i want to die of covid link	A287
user an anthropological operation is underway to change human nature, with vaccine, but also without. they put all their weight on a plate, with the Chinese accomplices. the Russians are silent, as conscious prey.	A191
 vaccine victims exist, families and children destroyed by grief. #libertdiscelta link	A871
 #vaccine damage court rulings are on the rise worldwide. but they keep telling us that #vaccines are safe and save lives. link	A1033
user will not happen to us, they will lead us to exasperation, to denounce the neighbor (such groups have already been born) and like goats we will pray to become guinea pigs for experimentation #vaccine # covid19italia has already happened with our. children 10 mandatory criminal vaccines	A95
 gypsies and vaccine propaganda. fuck you #nonelarena	A1374
user ... I read an interview with a virologist whose name I don't remember, that the flu vaccine lowers the immune system by 40%, so it's easier to take covid19, and more ...	A263
link guys the vaccine they say they are testing is not safe at all listen from 20 minutes	A849
 these children will not celebrate any Christmas, the #vaccino has taken them away. link	A1200
 user wait for the vaccine to exist and read the contraindications. probably the percentage of people who would decline the invitation would increase	A204
 zingaretti makes flu vaccination mandatory. mariano amici: “only hustlers to drug multinationals” - #zingaretti # makes #vaccination link	A1376
#hpv vaccine, with aluminum adjuvants could it be an epochal mistake ?? they give it to twelve-year-old girls ?? who then take the pill ?? as long as they take it, the state of the ovaries is ignored. until ... ?? at 25-35 they want children ?? they can't 17.50 link	A1316
(cli va toscana) when they tell you that the hpv vaccine is essential and that they do it for your good, keep in mind 2 things: 1) the science of your health does not give a damn 2) the policy and the ASL of your health they do not care give a damn now put the pieces together! link	A56
 user you broke up with this vaccine	A289
" coronavirus, professor de donno: ""#plasma is the only drug, it is much more powerful than a vaccine"". link"	A679
" the eu that loves and protects us has already approved the vaccine (with live ebola virus). when the ""right"" to be vaccinated all? #italexit #exit #exit link"	A995
#coronavirus outbreak stock data update of nano viricides inc manufacturer of the experimental vaccine against bullshit. link	A366
" user user user nothing prevents you from searching, reading and studying to check what is inside and behind a vial of ""vaccine"" then everyone gets his or her own ideas there is no certainty, but plenty of doubts"	A94
 user_italia we do not want the vaccine you do it to the brain, you need it.	A86
another case of #vaccine failure. whooping cough epidemic, school closed despite 100% coverage. meanwhile, even today thousands of healthy children are out of #school in Italy due to the lorenzin law that no party has the courage to repeal.	A496
link was 2010 and we could still talk about damage caused by vaccines: in a year 396 victims caused by the flu!	A847
thank goodness, we were worried! (the #coronavirus that of the cold, for which in 300 years they have never been able to find vaccines. Now instead ... miracle! ????????) link	A480
 #vaccine meningitis, chance and fear have been created. link	A1075
 user i hope that i hope schiatti seen the statistics on new vaccines. but he is too cowardly to subject himself to the vaccine	A244
 user user the vaccine is useless why do you insist on this? where do you want to arrive? this is not myself to say but virologists of great experience and intellectual honesty. forget about this, it is not your business to worry about healing families left without money	A254
 when you are Bolsonaro, you are a fascist! but the vaccine scam is left! link	A1188
tell me that these #vaccines are safe, tell me that they have not snatched these children from their joy of being such by making them autistic. tell me that before the vaccination they were fine and healthy. tell me that darkness has fallen from the next day. tell us why. link	A770
 user you find the cure the vaccine you do it I am not a guinea pig	A81
 live virus ... which means we will have Ebola epidemics from vaccination ... and merry christmas ... long live europe link	A472
 we must organize a demonstration against the gates vaccine before it is too late	A544
 #vaccines have also noticed this in kenya. more cases of polio caused by the vaccine than by the virus. from the nation of today. user link	A431
covid-19 vaccine, military union: no to experiments on law enforcement or military medical personnel. no to new white deaths link via user	A1331
user user user already I have little trust in a single medical opinion (so I listen to more than one) why should I trust someone who has only but classical maturity? mystery of faith. I repeat: you start getting the vaccine, so then we could discuss whether it can or cannot be done.	A128
" #zingarettinonmisiringa courts full of lawsuits for vaccine damage no obligation! resist to stay free modena, ""disabled infant due to vaccine"": the tar requires the ministry of health compensation for ""hexavalent damage"" user link"	A442
 plasma is a cure, no vaccine thanks! link via user	A931
2012 study: Inactivated trivalent influenza #vaccines #increase non-influenza viral infections 4.4-fold. link	A1267
to all those in line to get the #meningitis vaccine: did you know that the vaccine only covers a few strains? do you know that the vaccine cannot give instant immunity? ???? this could make your meninge burst. do you know that meningitis is one of the side effects? link	A471
 if you use a dumb virus, the vaccine gives you no guarantees	A234
 user nothing is happening it is just to plagiarize people by doing media terrorism to make people soon get the flu vaccine with anticoronavirus tactic created by the pharmaceutical multinationals together with oms and doctors on duty !!!	A189
" vaccine nation - sub ita - subtitled in Italian by ""il portico di ... link by user"	A1313
the #vaccine supermarket never stops, now they churn out a new vaccine every day: in the UK, the test for a vaccine against cholesterol is underway. now clear the strategy of bigpharma, to make us more and more slaves of drugs. link	A937
 the tens / hundreds of thousands of people who will die during the vaccine testing year will be grateful to the system that guarantees a safe product. # agorarai	A1029
1 / - have you ever used babies of mothers in prison to test a vaccine? - s. - have you ever used colonial-dominated individuals to test a vaccine? - did he do it in the Belgian congo? - s. - did the experiment involve nearly a million people? - well, mmm, here, yes. link	A447
 zingaretti in his confidence as a dental technician wants them mandatory but it would seem that: link	A1375
Warning: the 2018-19 flu vaccine contains mercury (very dangerous!) and endangers pregnant women and children in particular.	A530
covid-19, new studies confirm that those who no longer have symptoms do not infect - and now how will all those who hoped for the continuity of the virus do to test the vaccine ??? link	A735
 user user do it yourself the vaccine and be ashamed to sell your country and our children	A248
 Vaccine damage exceeds that of covered diseases without vaccine	A873
 gardasil vaccine - activated macrophages laden with viral dna / aahs nanoparticles present in this vaccine can travel throughout the body, including the myocardium. a scientific fact ... link link	A1340
95% recovered from covid without vaccine. the farce-Giallorossi government continues to assert that without vaccination we will all die .. #hope my little one .. can you hear me?	A905
"users therefore, they create the problem ""the pandemic"", they wait for people to die of fear and ask for a solution and they already give you the vaccine that contains the microchip as a solution."	A293
here's how they're screwing us. # covid2019 #vaccine #quarantena link	A795
at the moment there are 5 thousand applications pending for those injured by blood transfusions (some also from vaccines). if all 5 thousand asked for moral damages for the delay, having the right to do so, the state would not find the funds. the 2007 budget (article 33) allocates 700 thousand euros link	A486
covid deaths 6 days ago: ita (10023 spa (5690 fra (2314 uk (1019 nl (639 ger (389 bel (353 sve (102 por (100 aut (68 dan (65 irl (36 gre (32 rom (29 nor ( 20 lux (18 pol (18 ung (13 cec (11 fin (9 slo (9 bul (7 lit (7 cro (5 cipr (5 isl (2 est (1 is there a certain relationship with the flu shot ?: link	A753
moreover the virus changes and therefore every year according to them there would be the new vaccine formulated on the retrovirus the bacterium does not and they would not have the excuse to vaccinate us at each new autumn season	A970
 looking for news on mercioff I find this interview with desmond hellmann of the gates foundation. and so I find out that the hepatitis b vaccine made from Chinese hamster ovary cell lines ???? link	A562
user user_grillo if I told you that by 2040 90% of the population will no longer exist would you believe it or do you think it is a fairy tale? hiv since 1981 we have not yet found a vaccine, when do you think we will find a vaccine for covid-19 in your opinion?	A236
 shut up who also produce in the usa (first case of contagion in the united states announced a few hours ago) and guess what other concoction they produce? the HIV vaccine !! ................... and antiamooooooo dueeeeee! ???????????????????????????? link	A1378
why don't you say that in Brescia and #bergamo they carpet-vaccinated the population for meningitis at the end of January, devastating their immune system, as happens to children who have a fever for days after the vaccine, and then fall ill? #dimartedi # covid19	A1162
 Bergamo and fake. how many of the dead received the flu? link via user	A536
"this mother practically tells live the regression to the autistic state of her daughter after 48 hours from the injection of the hexavalent vaccine. ""yesterday I had a little girl who was 100% healthy, today I have an injured daughter, so as not to write disabled""! link link"	A1196
 user now that the virus is disappearing, do you pay for a vaccine?	A346
they declared war on us, destroyed Europe and then gave us the money to rebuild by making us slaves. they create the # covid_19 and infect the whole world and then create the vaccine and sell it to the whole world. it's always them! The United States of America! # codvid19italia	A574
user user also says this other study, that whoever makes the flu vaccine increases the risk of catching the infection from other viruses, including coronavirus, by 4 to 5 times. link link	A97
 measles vaccine ineffectiveness plotkin calls for new studies link via user choice	A966
#ebola the ready and certified vaccine 100% effective. now all we need is an epidemic in #europe. we bet it will happen soon? link	A399
"user the risk of a dictatorship is very high indeed. that of this nonsense of ""pandemic"" virus is funny. and the vaccine is useless. if the Boeotians who still believe in the lies of this government of scoundrels and its hired ""experts"" do it."	A237
 when the press could still report on the damage caused by #vaccino link	A1184
#coronavirus #coronavirusitalia #coronavirustruth # covid19 # covid19italia #pandemic #iorestoacasa pag9 ľ man is just a liar and a cheat! I also turn to the billionaires who with all their money are thinking of financing a hypothetical vaccine if they can forget it because for .. page 10	A362
 ???? What a strange thing, even this year it seems that doctors are more afraid of the #vaccine than the flu. ???? link	A5
 imbecilliiiii! a healthy child is the #vaccine is maleeee and laugh as well! all normal now normal even if a child crack x a vaccine. went to cagher! link	A956
flu shot warning 2018-19. how mercury causes brain neurodegenerative processes	A529
 the myth of the coronavirus vaccine expects the miraculous remedy that will free us from the lockdown, revive the economy, remove our masks (ironic video: mothers, children and masks)	A926
 link a city councilor of genoa manages to stop the local health authority, which wanted to vaccinate against meningococcus in a school. after the protest of the parents the vaccination will be carried out, even though the place is not suitable for a medical procedure ... ????	A853
 we know more closely, who will be able to sell us the vaccine and cure against the coronavirus? pharmaceutical companies, lobbying scandals between vendors and user link stacks	A593
#health what are those offenders plotting? mandatory vaccine for children and over 60s ?? they can't do it !!! read the articles on the site about it. the vaccine business recommended by lorenzin goes on !!! Italians, wake up !! link	A422
with 99% diphtheria vaccination coverage, diphtheria is back in greece! a child died. 70 years of peace stick it up your ass. poverty kills, poverty brings disease and no vaccine can mitigate this fact! link	A592
 user salvini call tarro on tv and let's stop with this farce ahead. they want to sell vaccine that cannot work against this virus. call tarro and do a streaming show. perhaps they are delusional of the order .... helicopters x find people sunbathing when up	A327
 I propose myself as a guinea pig to live without a compulsory vaccine and without a microchip (copy paste, let's see how many we are?)	A1086
"giulio tarro: ""coronavirus is not Ebola, the vaccine is not needed. Healthcare in crisis due to those who have halved intensive care"" link via user_italia"	A825
 user users do not talk about it because you shouldn't know that there is a safe and inexpensive therapy, while we have a pdc that makes video calls with the world criminal bill gates for pseudo agreements on a pseudo vaccine produced in oxford, and financed by same gates ..	A139
 the first to make the experimental vaccine (useless) will be you doctors and law enforcement. now I know cocks.	A888
 user user money down the drain for the worst vaccine around link	A252
 Massimo mazzucco, he warns us. don't get the vaccine when it comes out. link via user	A1071
 user_it user_capitani user a friend of mine who is a pharmaceutical informant and generally pro vax and very much in line with official medicine, she has never had her elderly mother vaccinated against the flu. there must be a reason...	A315
 user I don't know who is speaking. I still don't get a vaccine. I leave it to the wise like you.	A320
user user umpteenth buffalo sower of fear. the xcovid19 treatment already exists and is called hyperimmune plasma, unfortunately for you, made in Italy. the vaccine is not needed + for nothing given that the virus has already lost, like the years, part of its strength and in October it will already be completely different ...	A277
 user user want to put a microchip on the right hand, with the excuse of the vaccine. they will vaccinate us and in addition to the vaccine we will have a microchip with a barcode, designed by bill gates. is a prototype of the mark of the beast.	A274
" cot deaths after infanrix hexa vaccine. on. Catalan: ""Lorenzin still hasn't answered my question"" - link via user"	A1094
If 10 100 1000 parents all say the same thing: my baby was healthy until that cursed day of the #vaccine mpr, why don't you doctors / scientists even consider the autism / vaccine link? the only response is fear or corruption. link	A1230
#coronavirus in #direct #video: it will not be the #vaccine that will get us out of the nightmare # covid-19. the #virologa #capua speaks »link link #meteo via user	A365
" science wants to pass an ""abomination"" as a ""cool"" thing. the vaccine under the skin, which keeps track of vaccination history, is not only a violent violation of human dignity, but also a dangerous medical practice, as it is untested. link"	A1026
 user no no, you have to be good and sick that then the vaccine arrives and then you will be miraculous. cursed big pharma and his ignoble servants.	A278
 coronavirus, the news the first jackals immediately after the vaccine sellers who will soon pull it out	A649
user user it turns out that everyone who got the flu shot ... got sick with covid 19 do you want to see it was in the vaccine?	A114
Samoa bans the hexavalent vaccine in 2018 after the death of two children from an adverse serum reaction. no measles for a whole year. # unicef arrives in 2019 and inoculates 115,500 vaccines for one of its philanthropic programs. November: epidemic outbreak, deaths. link	A1222
 user user for months serious doctors say that the vaccine is not needed because it would not work! however mass media and politicians continue to say that they are waiting for him! I can imagine why.	A196
 Speaking of ebola, vaccine manufacturers will have immunity on their products. at least in america, for the moment. practically making vaccines the perfect business. you are in no danger if your product kills those who use it (healthy people) link	A468
user dear minister do you know where to put the vaccine? he wants a drawing so he understands better ... have a nice day	A303
user bill gates and the powerful of the earth have only one goal ... covid 19 is part of their program to be able to gain control over people through a mandatory vaccine. Clearer than that!	A264
 user not even dead I will make a vaccine	A156
"""the vaccine is useless."" user user user user link clarity on # covid19 burioni mocked us for our research, now the data speak for themselves - pasquale bacco # byoblu24"	A26
 user_william user this matters, that we can take care of. from what i have learned the whole crown series are not preventable. they change over time, they behave differently due to ethnicity, age and a thousand other factors. I feel uneasy when I feel vaccination is put before certain treatment.	A166
using a vaccine for a virus that has passed from bats to humans works on machachi! then it will be a hit! # phase2 #free back #restiamological	A170
 user no #app #novax vaccines his infamous cursed demon children! !!! karma blindness dissent shit sold	A136
 gates discovered coronavirus vaccine my best investment! alarm italy danger africa! user link	A822
 other mom. other testimony. meningococcal vaccine b. kawasaki syndrome prognosis. it was in the leaflet as an adverse effect. doctors recognize the link but do not write it down. #vaccines link	A495
 juke was a healthy child until the day of that damn #vaccine. before vaccinating your children, find out why there is no going back. here his terrible story ???????? link link	A987
#vaccini I remember that the former minister of health user, with the fuck that he was vaccinated in #pregnancy ... now get neatly in the queue pecoroneeeeee .... ???????? link link	A428
" #coronavirus, #billgates calls conte: ""he recognized Italy's commitment. Agreement on world cooperation to find the #vaccine"" - has the daily news “to can tenè” already been said? link"	A369
